Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross
Lagaan: Once Upon a Time in India,2001,U,224 min,Adventure,8.1,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,84,Ashutosh Gowariker,Aamir Khan,Raghuvir Yadav,Gracy Singh,Rachel Shelley,105036.00,70147.00
The African Queen,1951,PG,105 min,Adventure,7.7,"In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.",91,John Huston,Humphrey Bogart,Katharine Hepburn,Robert Morley,Peter Bull,71481.00,536118.00
Dead Man,1995,R,121 min,Adventure,7.6,"On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world.",62,Jim Jarmusch,Johnny Depp,Gary Farmer,Crispin Glover,Lance Henriksen,90442.00,1037847.00
Monty Python and the Holy Grail,1975,PG,91 min,Adventure,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",91,Terry Gilliam,Terry Jones,Graham Chapman,John Cleese,Eric Idle,500875.00,1229197.00
Kelly's Heroes,1970,GP,144 min,Adventure,7.6,A group of U.S. soldiers sneaks across enemy lines to get their hands on a secret stash of Nazi treasure.,50,Brian G. Hutton,Clint Eastwood,Telly Savalas,Don Rickles,Carroll O'Connor,45338.00,1378435.00
Queen,2013,UA,146 min,Adventure,8.2,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,,Vikas Bahl,Kangana Ranaut,Rajkummar Rao,Lisa Haydon,Jeffrey Ho,60701.00,1429534.00
The Wizard of Oz,1939,U,102 min,Adventure,8,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,92,Victor Fleming,George Cukor,Mervyn LeRoy,Norman Taurog,Richard Thorpe,371379.00,2076020.00
The Fall,2006,R,117 min,Adventure,7.9,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",64,Tarsem Singh,Lee Pace,Catinca Untaru,Justine Waddell,Kim Uylenbroek,107290.00,2280348.00
The Treasure of the Sierra Madre,1948,Passed,126 min,Adventure,8.2,Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,98,John Huston,Humphrey Bogart,Walter Huston,Tim Holt,Bruce Bennett,114304.00,5014000.00
Hunt for the Wilderpeople,2016,UA,101 min,Adventure,7.9,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,81,Taika Waititi,Sam Neill,Julian Dennison,Rima Te Wiata,Rachel House,111483.00,5202582.00
The Gold Rush,1925,Passed,95 min,Adventure,8.2,A prospector goes to the Klondike in search of gold and finds it and more.,,Charles Chaplin,Charles Chaplin,Mack Swain,Tom Murray,Henry Bergman,101053.00,5450000.00
Deliverance,1972,U,109 min,Adventure,7.7,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",80,John Boorman,Jon Voight,Burt Reynolds,Ned Beatty,Ronny Cox,98740.00,7056013.00
King Kong,1933,Passed,100 min,Adventure,7.9,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,90,Merian C. Cooper,Ernest B. Schoedsack,Fay Wray,Robert Armstrong,Bruce Cabot,78991.00,10000000.00
Fear and Loathing in Las Vegas,1998,R,118 min,Adventure,7.6,An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.,41,Terry Gilliam,Johnny Depp,Benicio Del Toro,Tobey Maguire,Michael Lee Gogin,259753.00,10680275.00
Das Boot,1981,R,149 min,Adventure,8.3,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",86,Wolfgang Petersen,JÃ¼rgen Prochnow,Herbert GrÃ¶nemeyer,Klaus Wennemann,Hubertus Bengsch,231855.00,11487676.00
The Great Escape,1963,U,172 min,Adventure,8.2,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,86,John Sturges,Steve McQueen,James Garner,Richard Attenborough,Charles Bronson,224730.00,12100000.00
The Peanut Butter Falcon,2019,PG-13,97 min,Adventure,7.6,Zak runs away from his care home to make his dream of becoming a wrestler come true.,70,Tyler Nilson,Michael Schwartz,Zack Gottsagen,Ann Owens,Dakota Johnson,66346.00,13122642.00
North by Northwest,1959,U,136 min,Adventure,8.3,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,98,Alfred Hitchcock,Cary Grant,Eva Marie Saint,James Mason,Jessie Royce Landis,299198.00,13275000.00
Diarios de motocicleta,2004,U,126 min,Adventure,7.8,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,75,Walter Salles,Gael GarcÃ­a Bernal,Rodrigo De la Serna,MÃ­a Maestro,Mercedes MorÃ¡n,96703.00,16756372.00
